EntityKey,ATF_ID,RowType,Company,CompanyNorm,ObservedName,VendorName,CompareKey
E-000046,ATF-00046,Major Vendor,CAP,CAP,Cake Batter,Nomz,cap|cakebatter
E-000047,ATF-00047,ATF,CAP,CAP,Cake Batter V2,,cap|cakebatterv2
E-000047,ATF-00047,Major Vendor,CAP,CAP,Cake Batter V2,DIY eJuice,cap|cakebatterv2
E-000048,ATF-00048,ATF,CAP,CAP,Candied Mango,,cap|candiedmango
E-000048,ATF-00048,Major Vendor,CAP,CAP,Candied Mango,Bull City,cap|candiedmango
E-000048,ATF-00048,Major Vendor,CAP,CAP,Candied Mango,Nomz,cap|candiedmango
E-000049,ATF-00049,ATF,CAP,CAP,Candied Watermelon,,cap|candiedwatermelon
E-000049,ATF-00049,Major Vendor,CSL,CAP,Candied Watermelon,Bull City,cap|candiedwatermelon
E-000049,ATF-00049,Major Vendor,CAP,CAP,Candied Watermelon,DIY eJuice,cap|candiedwatermelon
E-000050,ATF-00050,ATF,CAP,CAP,Cantaloupe,,cap|cantaloupe
E-000050,ATF-00050,Major Vendor,CAP,CAP,Cantaloupe,Bull City,cap|cantaloupe
E-000050,ATF-00050,Major Vendor,CAP,CAP,Cantaloupe,DIY eJuice,cap|cantaloupe
E-000050,ATF-00050,Major Vendor,CAP,CAP,Cantaloupe,Nomz,cap|cantaloupe
E-000051,ATF-00051,ATF,CAP,CAP,Cappuccino,,cap|cappuccino
E-000052,ATF-00052,ATF,CAP,CAP,Cappuccino V2,,cap|cappuccinov2
E-000052,ATF-00052,Major Vendor,CAP,CAP,Cappuccino V2,Bull City,cap|cappuccinov2
E-000052,ATF-00052,Major Vendor,CAP,CAP,Cappuccino V2,DIY eJuice,cap|cappuccinov2
E-000053,ATF-00053,ATF,CAP,CAP,Caramel,,cap|caramel
E-000053,ATF-00053,Major Vendor,CAP,CAP,Caramel,Bull City,cap|caramel
E-000053,ATF-00053,Major Vendor,CAP,CAP,Caramel,DIY eJuice,cap|caramel
E-000054,ATF-00054,ATF,CAP,CAP,Caramel V2,,cap|caramelv2
E-000054,ATF-00054,Major Vendor,CAP,CAP,Caramel V2,Bull City,cap|caramelv2
E-000054,ATF-00054,Major Vendor,CAP,CAP,Caramel V2,DIY eJuice,cap|caramelv2
E-000055,ATF-00055,ATF,CAP,CAP,Cereal 27,,cap|cereal27
E-000055,ATF-00055,Major Vendor,CAP,CAP,Cereal 27,Bull City,cap|cereal27
E-000055,ATF-00055,Major Vendor,CAP,CAP,Cereal 27,DIY eJuice,cap|cereal27
E-000055,ATF-00055,Major Vendor,CAP,CAP,Cereal 27,Nomz,cap|cereal27
E-000056,ATF-00056,ATF,CAP,CAP,Chai Tea,,cap|chaitea
E-000056,ATF-00056,Major Vendor,CAP,CAP,Chai Tea,DIY eJuice,cap|chaitea
E-000057,ATF-00057,ATF,CAP,CAP,Cherry Cola,,cap|cherrycola
E-000058,ATF-00058,ATF,CAP,CAP,Cherry Cola Rf,,cap|cherrycolarf
E-000058,ATF-00058,Major Vendor,CAP,CAP,Cherry Cola RF,DIY eJuice,cap|cherrycolarf
E-000059,ATF-00059,ATF,CAP,CAP,Chocolate Caramel Peanut,,cap|chocolatecaramelpeanut
E-000060,ATF-00060,ATF,CAP,CAP,Chocolate Coconut Almond,,cap|chocolatecoconutalmond
E-000061,ATF-00061,ATF,CAP,CAP,Chocolate Fudge Brownie,,cap|chocolatefudgebrownie
E-000062,ATF-00062,ATF,CAP,CAP,Chocolate Fudge Brownie V2,,cap|chocolatefudgebrowniev2
E-000062,ATF-00062,Major Vendor,CAP,CAP,Chocolate Fudge Brownie V2,DIY eJuice,cap|chocolatefudgebrowniev2
E-000063,ATF-00063,ATF,CAP,CAP,Chocolate Fudge Brownie V3,,cap|chocolatefudgebrowniev3
E-000063,ATF-00063,Major Vendor,CAP,CAP,Chocolate Fudge Brownie V3,DIY eJuice,cap|chocolatefudgebrowniev3
E-000064,ATF-00064,ATF,CAP,CAP,Chocolate Glazed Doughnut,,cap|chocolateglazeddoughnut
E-000064,ATF-00064,Major Vendor,CAP,CAP,Chocolate Glazed Doughnut,Bull City,cap|chocolateglazeddoughnut
E-000064,ATF-00064,Major Vendor,CAP,CAP,Chocolate Glazed Doughnut,DIY eJuice,cap|chocolateglazeddoughnut
E-000065,ATF-00065,ATF,CAP,CAP,Chocolate Raspberry,,cap|chocolateraspberry
E-000066,ATF-00066,ATF,CAP,CAP,Churro,,cap|churro
E-000066,ATF-00066,Major Vendor,CAP,CAP,Churro,Bull City,cap|churro
E-000066,ATF-00066,Major Vendor,CAP,CAP,Churro,DIY eJuice,cap|churro
E-000067,ATF-00067,ATF,CAP,CAP,Cinnamon Coffee Cake,,cap|cinnamoncoffeecake
E-000068,ATF-00068,ATF,CAP,CAP,Cinnamon Danish Swirl,,cap|cinnamondanishswirl
E-000068,ATF-00068,Major Vendor,CAP,CAP,Cinnamon Danish Swirl,Bull City,cap|cinnamondanishswirl
E-000068,ATF-00068,Major Vendor,CAP,CAP,Cinnamon Danish Swirl,DIY eJuice,cap|cinnamondanishswirl
E-000068,ATF-00068,Major Vendor,CAP,CAP,Cinnamon Danish Swirl,Nomz,cap|cinnamondanishswirl
E-000069,ATF-00069,ATF,CAP,CAP,Cinnamon Danish Swirl V2,,cap|cinnamondanishswirlv2
E-000069,ATF-00069,Major Vendor,CAP,CAP,Cinnamon Danish Swirl V2,Bull City,cap|cinnamondanishswirlv2
E-000069,ATF-00069,Major Vendor,CAP,CAP,Cinnamon Danish Swirl V2,DIY eJuice,cap|cinnamondanishswirlv2
E-000069,ATF-00069,Major Vendor,CAP,CAP,Cinnamon Danish Swirl v2,Nomz,cap|cinnamondanishswirlv2
E-000070,ATF-00070,ATF,CAP,CAP,Cinnamon Sugar,,cap|cinnamonsugar
E-000070,ATF-00070,Major Vendor,CSL,CAP,Cinnamon Sugar,Bull City,cap|cinnamonsugar
E-000070,ATF-00070,Major Vendor,CAP,CAP,Cinnamon Sugar,DIY eJuice,cap|cinnamonsugar
E-000070,ATF-00070,Major Vendor,CSL,CAP,Cinnamon Sugar,Nomz,cap|cinnamonsugar
E-000071,ATF-00071,ATF,CAP,CAP,Coconut,,cap|coconut
E-000071,ATF-00071,Major Vendor,CAP,CAP,Coconut,Bull City,cap|coconut
E-000071,ATF-00071,Major Vendor,CAP,CAP,Coconut,DIY eJuice,cap|coconut
E-000072,ATF-00072,ATF,CAP,CAP,Cola Flavor Type Concentrate,,cap|colaflavortypeconcentrate
E-000073,ATF-00073,ATF,CAP,CAP,Cola v2,,cap|colav2
E-000073,ATF-00073,Major Vendor,CAP,CAP,Cola V2,DIY eJuice,cap|colav2
E-000074,ATF-00074,ATF,CAP,CAP,Concord Grape With Stevia,,cap|concordgrapewithstevia
E-000074,ATF-00074,Major Vendor,CAP,CAP,Concord Grape W/Stevia,Bull City,cap|concordgrapewstevia
E-000074,ATF-00074,Major Vendor,CAP,CAP,Concord Grape w/Stevia,DIY eJuice,cap|concordgrapewstevia
E-000074,ATF-00074,Major Vendor,CAP,CAP,Concord Grape with Stevia,Nomz,cap|concordgrapewithstevia
E-000075,ATF-00075,ATF,CAP,CAP,Cookie Crumble,,cap|cookiecrumble
E-000075,ATF-00075,Major Vendor,CAP,CAP,Cookie Crumble,Bull City,cap|cookiecrumble
E-000075,ATF-00075,Major Vendor,CAP,CAP,Cookie Crumble,Nomz,cap|cookiecrumble
E-000076,ATF-00076,ATF,CAP,CAP,Cool Anise Bliss,,cap|coolanisebliss
E-000076,ATF-00076,Major Vendor,CAP,CAP,Cool Anise Bliss,DIY eJuice,cap|coolanisebliss
E-000077,ATF-00077,ATF,CAP,CAP,Cool Mint,,cap|coolmint
E-000077,ATF-00077,Major Vendor,CAP,CAP,Cool Mint,Bull City,cap|coolmint
E-000077,ATF-00077,Major Vendor,CAP,CAP,Cool Mint,DIY eJuice,cap|coolmint
E-000077,ATF-00077,Major Vendor,CAP,CAP,Cool Mint,Nomz,cap|coolmint
E-000078,ATF-00078,ATF,CAP,CAP,Cranberry,,cap|cranberry
E-000078,ATF-00078,Major Vendor,CAP,CAP,Cranberry,Bull City,cap|cranberry
E-000078,ATF-00078,Major Vendor,CAP,CAP,Cranberry,DIY eJuice,cap|cranberry
E-000079,ATF-00079,ATF,CAP,CAP,Creamy Vanilla,,cap|creamyvanilla
E-000079,ATF-00079,Major Vendor,CAP,CAP,Creamy Vanilla,Bull City,cap|creamyvanilla
E-000079,ATF-00079,Major Vendor,CAP,CAP,Creamy Vanilla,Nomz,cap|creamyvanilla
E-000080,ATF-00080,ATF,CAP,CAP,Creamy Yogurt,,cap|creamyyogurt
E-000080,ATF-00080,Major Vendor,CAP,CAP,Creamy Yogurt,Bull City,cap|creamyyogurt
E-000080,ATF-00080,Major Vendor,CAP,CAP,Creamy Yogurt,DIY eJuice,cap|creamyyogurt
E-000081,ATF-00081,ATF,CAP,CAP,Creamy Yogurt v2,,cap|creamyyogurtv2
E-000081,ATF-00081,Major Vendor,CAP,CAP,Creamy Yogurt V2,DIY eJuice,cap|creamyyogurtv2
E-000082,ATF-00082,ATF,CAP,CAP,Crispy Bacon,,cap|crispybacon
E-000083,ATF-00083,ATF,CAP,CAP,Crunchy Frosted Cookie,,cap|crunchyfrostedcookie
E-000083,ATF-00083,Major Vendor,CAP,CAP,Crunchy Frosted Cookie,DIY eJuice,cap|crunchyfrostedcookie
E-000084,ATF-00084,ATF,CAP,CAP,Cucumber,,cap|cucumber
E-000084,ATF-00084,Major Vendor,CAP,CAP,Cucumber,Bull City,cap|cucumber
E-000084,ATF-00084,Major Vendor,CAP,CAP,Cucumber,DIY eJuice,cap|cucumber
E-000084,ATF-00084,Major Vendor,CAP,CAP,Cucumber,Nomz,cap|cucumber
E-000085,ATF-00085,ATF,CAP,CAP,Cup A Joe,,cap|cupajoe
E-000085,ATF-00085,Major Vendor,CAP,CAP,Cup a Joe,Bull City,cap|cupajoe
E-000085,ATF-00085,Major Vendor,CAP,CAP,Cup of Joe,DIY eJuice,cap|cupofjoe
E-000086,ATF-00086,ATF,CAP,CAP,Custard Cake,,cap|custardcake
E-000086,ATF-00086,Major Vendor,CAP,CAP,Custard Cake,Bull City,cap|custardcake
E-000086,ATF-00086,Major Vendor,CAP,CAP,Custard Cake,DIY eJuice,cap|custardcake
E-000086,ATF-00086,Major Vendor,CAP,CAP,Custard Cake,Nomz,cap|custardcake
E-000087,ATF-00087,ATF,CAP,CAP,Custard Cream,,cap|custardcream
E-000087,ATF-00087,Major Vendor,CAP,CAP,Custard Cream,Bull City,cap|custardcream
E-000087,ATF-00087,Major Vendor,CAP,CAP,Custard Cream,Nomz,cap|custardcream
E-000088,ATF-00088,ATF,CAP,CAP,Double Apple,,cap|doubleapple
E-000088,ATF-00088,Major Vendor,CAP,CAP,Double Apple,Bull City,cap|doubleapple
E-000088,ATF-00088,Major Vendor,CAP,CAP,Double Apple,DIY eJuice,cap|doubleapple
E-000088,ATF-00088,Major Vendor,CAP,CAP,Double Apple,Nomz,cap|doubleapple
E-000089,ATF-00089,ATF,CAP,CAP,Double Chocolate,,cap|doublechocolate
E-000090,ATF-00090,ATF,CAP,CAP,Double Chocolate V2,,cap|doublechocolatev2
E-000090,ATF-00090,Major Vendor,CAP,CAP,Double Chocolate V2,Bull City,cap|doublechocolatev2
E-000090,ATF-00090,Major Vendor,CAP,CAP,Double Chocolate V2,DIY eJuice,cap|doublechocolatev2
E-000091,ATF-00091,ATF,CAP,CAP,Double Watermelon,,cap|doublewatermelon
E-000091,ATF-00091,Major Vendor,CAP,CAP,Double Watermelon,Bull City,cap|doublewatermelon
E-000091,ATF-00091,Major Vendor,CAP,CAP,Double Watermelon,DIY eJuice,cap|doublewatermelon
E-000092,ATF-00092,ATF,CAP,CAP,Dragon Fruit,,cap|dragonfruit
E-000092,ATF-00092,Alias,,CAP,Dragonfruit,,cap|dragonfruit
E-000092,ATF-00092,Major Vendor,CAP,CAP,Dragon Fruit,Bull City,cap|dragonfruit
E-000092,ATF-00092,Major Vendor,CAP,CAP,Dragon Fruit,DIY eJuice,cap|dragonfruit
E-000092,ATF-00092,Major Vendor,CAP,CAP,Dragonfruit,Nomz,cap|dragonfruit
E-000093,ATF-00093,ATF,CAP,CAP,Dutch Chocolate Mint,,cap|dutchchocolatemint
E-000094,ATF-00094,ATF,CAP,CAP,Egg Nog,,cap|eggnog
E-000095,ATF-00095,ATF,CAP,CAP,Energy Drink Rf,,cap|energydrinkrf
E-000095,ATF-00095,Major Vendor,CAP,CAP,RF Energy Drink,DIY eJuice,cap|rfenergydrink
E-000096,ATF-00096,ATF,CAP,CAP,Espresso,,cap|espresso
E-000096,ATF-00096,Major Vendor,CAP,CAP,Espresso,DIY eJuice,cap|espresso
E-000097,ATF-00097,ATF,CAP,CAP,Extra Sweet,,cap|extrasweet
E-000097,ATF-00097,Major Vendor,CAP,CAP,Extra Sweet,Bull City,cap|extrasweet
E-000097,ATF-00097,Major Vendor,CAP,CAP,Extreme Sweet,DIY eJuice,cap|extremesweet
E-000097,ATF-00097,Major Vendor,CAP,CAP,Extra Sweet,Nomz,cap|extrasweet
E-000098,ATF-00098,ATF,CAP,CAP,Fig,,cap|fig
E-000099,ATF-00099,ATF,CAP,CAP,Fizz Pop,,cap|fizzpop
E-000099,ATF-00099,Major Vendor,CAP,CAP,Fizz Pop,Bull City,cap|fizzpop
E-000099,ATF-00099,Major Vendor,CAP,CAP,Fizz Pop,DIY eJuice,cap|fizzpop
E-000100,ATF-00100,ATF,CAP,CAP,French Toast,,cap|frenchtoast
E-000101,ATF-00101,ATF,CAP,CAP,French Vanilla,,cap|frenchvanilla
E-000101,ATF-00101,Major Vendor,CAP,CAP,French Vanilla,Bull City,cap|frenchvanilla
E-000101,ATF-00101,Major Vendor,CAP,CAP,French Vanilla,DIY eJuice,cap|frenchvanilla
E-000101,ATF-00101,Major Vendor,CAP,CAP,French Vanilla,Nomz,cap|frenchvanilla
E-000102,ATF-00102,ATF,CAP,CAP,French Vanilla V2,,cap|frenchvanillav2
E-000102,ATF-00102,Major Vendor,CAP,CAP,French Vanilla V2,Bull City,cap|frenchvanillav2
E-000102,ATF-00102,Major Vendor,CAP,CAP,French Vanilla V2,DIY eJuice,cap|frenchvanillav2
E-000103,ATF-00103,ATF,CAP,CAP,Fresh Guava,,cap|freshguava
E-000103,ATF-00103,Major Vendor,CAP,CAP,Fresh Guava,Bull City,cap|freshguava
E-000103,ATF-00103,Major Vendor,CAP,CAP,Fresh Guava,Nomz,cap|freshguava
E-000104,ATF-00104,ATF,CAP,CAP,Fresh Pineapple,,cap|freshpineapple
E-000104,ATF-00104,Major Vendor,CAP,CAP,Fresh Pineapple,Bull City,cap|freshpineapple
E-000104,ATF-00104,Major Vendor,CAP,CAP,Fresh Pineapple,Nomz,cap|freshpineapple
E-000105,ATF-00105,ATF,CAP,CAP,Fresh Spearmint,,cap|freshspearmint
E-000106,ATF-00106,ATF,CAP,CAP,Frosting,,cap|frosting
E-000106,ATF-00106,Major Vendor,CAP,CAP,Frosting,DIY eJuice,cap|frosting
E-000107,ATF-00107,ATF,CAP,CAP,Fruit Circles,,cap|fruitcircles
E-000107,ATF-00107,Major Vendor,CSL,CAP,Fruit Circles,Bull City,cap|fruitcircles
E-000107,ATF-00107,Major Vendor,CAP,CAP,Fruit Circles,DIY eJuice,cap|fruitcircles
E-000108,ATF-00108,ATF,CAP,CAP,Fuji Apple,,cap|fujiapple
E-000108,ATF-00108,Major Vendor,CAP,CAP,Fuji Apple,Bull City,cap|fujiapple
E-000108,ATF-00108,Major Vendor,CAP,CAP,Fuji,DIY eJuice,cap|fuji
E-000108,ATF-00108,Major Vendor,CAP,CAP,Fuji Apple,Nomz,cap|fujiapple
E-000109,ATF-00109,ATF,CAP,CAP,Funnel Cake,,cap|funnelcake
E-000109,ATF-00109,Major Vendor,CAP,CAP,Funnel Cake,Bull City,cap|funnelcake
E-000109,ATF-00109,Major Vendor,CAP,CAP,Funnel Cake,DIY eJuice,cap|funnelcake
E-000110,ATF-00110,ATF,CAP,CAP,Gingerbread,,cap|gingerbread
E-000110,ATF-00110,Major Vendor,CAP,CAP,Gingerbread,Bull City,cap|gingerbread
E-000110,ATF-00110,Major Vendor,CAP,CAP,Gingerbread,DIY eJuice,cap|gingerbread
E-000110,ATF-00110,Major Vendor,CAP,CAP,Gingerbread,Nomz,cap|gingerbread
E-000111,ATF-00111,ATF,CAP,CAP,Glazed Doughnut,,cap|glazeddoughnut
E-000111,ATF-00111,Major Vendor,CAP,CAP,Glazed Doughnut,Bull City,cap|glazeddoughnut
E-000111,ATF-00111,Major Vendor,CAP,CAP,Glazed Donuts,DIY eJuice,cap|glazeddonuts
E-000111,ATF-00111,Major Vendor,CAP,CAP,Glazed Doughnut,Nomz,cap|glazeddoughnut
E-000112,ATF-00112,ATF,CAP,CAP,Golden Butter,,cap|goldenbutter
